Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,Special Character?
Lady bedspace for rent in pasay 3250 each only 1room good for 2 pax (1 bed available) Free wifi Hot shower Water and electricity included Common sink and CR With exhaust fan Located in 2nd floor 100 ibarra street pasay city. Near lrt and mrt,3250,"Lady bedspace for rent in pasay
3250 each only

1room good for 2 pax (1 bed available)

Free wifi
Hot shower
Water and electricity included
Common sink and CR
With exhaust fan
Located in 2nd floor

100 ibarra street pasay city.
Near lrt and mrt 
09214392273 choy bonifacio",,,,Metro Manila (NCR),Pasay City,Barangay 86,8,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-in-pasay-3250-each-only-1room-good-for-2-pax-1-bed-available-free-wifi-hot-shower-water-and-electricity-included-common-sink-and-cr-with-exhaust-fan-located-in-2nd-floor-100-ibarra-street-pasay-city-near-lrt-and-mrt-1070063687/?t-id=_pqFK10KBv_1613656945170&t-referrer_browse_type=search_results&t-referrer_request_id=Fy4Ssx2T58no0R62&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/17/lady_bedspace_for_rent_in_pasa_1613577777_c11edd63_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/17/lady_bedspace_for_rent_in_pasa_1613577777_c19e1a24_progressive.jpg",
MALE CONDO SHARING/ CONDO BEDSPACE FOR RENT,3300,"MALE CONDO SHARING/ CONDO BEDSPACE 
LOCATION: Park Avenue Mansion, Park Avenue Street, Pasay City


??Php 3,300 to 3,500(WIFI, Electricity and water bill included)
??One month advance one month deposit.
?? Preferably night shift

FULLY FURNISHED & BRAND NEW

??Uratex Foam
?? 2- Door Refrigerator
??Rice cooker
??Super Kalan
??Utensils (Plates & Mug)
??Foam
??Electric Kettle
??Own drawer slot
??Flat Iron & Ironing board
??Association dues
??Extension cord per deck
??Bidet @CR
??LANDLINE AND 20mbps WIFI

CONDO FACILITIES
??Swimming pool
?? Grocery store
?? Laundry shop
??Alfamart and 7/Eleven
??Computer Shop
??Massage Spa
??24/7 Guard on duty and CCTV
??Peaceful Environment
??Unit is near Fire Exit

TAKE NOTE: ??
????We need SIX (6) Male roommates 
???? Rates depend on your intended stay at the unit (we can talk about this thru pm ??)  
????TWO(2) Triple Decks available
????MOVE IN DATE: ANYTIME


????Accessible to
* SM MALL OF ASIA
*LRT 1 EDSA TAFT
* MRT EDSA TAFT
* BACLARAN
* PASAY CITY HALL
* PHILIPPINE SCHOOL FOR DEAF & BLIND
* DOUBLE DRAGON
* HERITAGE
* METROPOINT
* AIMS
*DFA MAIN
* CCP Complex 
*OKADA
*CITY OF DREAMS
*SOLAIRE

PM FOR INQUIRIES","PARK AVENUE MANSION, PASAY CITY",1,1,Metro Manila (NCR),Pasay City,,31.44,,,,https://www.carousell.ph/p/male-condo-sharing-condo-bedspace-for-rent-238488371/?t-id=_pqFK10KBv_1613656945170&t-referrer_browse_type=search_results&t-referrer_request_id=Fy4Ssx2T58no0R62&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944490_02adf43a_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944490_897f238d_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944490_614efab6_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944490_55b2153b_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944490_ce16e187_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944490_3bc1cee4_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944491_16506081_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/12/mix_condo_sharing_condo_bedspace_for_rent_1562944491_15ba0e8c_progressive.jpg",description
Molo iloilo city room and bedspace for rental prime location for inspiro bpo call center,1750,"Bed space start 1,750 which include water electricity
No curfew with own key peaceful place and safe
Prime location across molo inspiro call center
One month advance one month deposit
For fast reply text 09666801502
Room for rent start 2,350 ( solo )
Couple room 3,300 only good for 2 person
First come first serve updated as of feb 19,2021",,5,2,Western Visayas,Iloilo,Molo Boulevard,300,,,,https://www.carousell.ph/p/molo-iloilo-city-room-and-bedspace-for-rental-prime-location-for-inspiro-bpo-call-center-1070212779/?t-id=_pqFK10KBv_1613656945170&t-referrer_browse_type=search_results&t-referrer_request_id=Fy4Ssx2T58no0R62&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648827_d9584dd5_progressive, https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648827_ab1fdea7_progressive, https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648827_052d1d76_progressive, https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648827_bf4c9b2e_progressive, https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648827_0f1cca33_progressive, https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648827_2816e40b_progressive, https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648828_b697ea7c_progressive, https://media.karousell.com/media/photos/products/2021/2/18/molo_iloilo_city_room_and_beds_1613648828_ae3489fc_progressive",
Bedspace for Ladies QC,2500,"Bedspace for Ladies Only

1. Room for 4 persons - P2400/month/head
2. Room for 2 persons - P2500/month/head

1 month advance + 1 month deposit
Inclusive of light & water.
WIFI available for a minimal monthly fee.

Along Mother Ignacia near corner Scout Magbanua.
Short walk to Capitol Medical Center, St. Mary's College, Amoranto Sports Complex, Fisher Mall, St. Paul the Apostle Church.

Two corners away from Quezon Avenue.

Safe & clean environment. 
Strong, clean 24-hour water supply. 
Flood-free area.
Contact Bing: 0939.920.9189",Mother Ignacia corner Scout Magbanua,,,Metro Manila (NCR),Quezon City,,6,,,,https://www.carousell.ph/p/bedspace-for-ladies-qc-1017735701/?t-id=_pqFK10KBv_1613656945170&t-referrer_browse_type=search_results&t-referrer_request_id=4dO6syfA6STekgZh&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/10/1/bedspace_for_ladies_qc_1601540442_91e66241_progressive, https://media.karousell.com/media/photos/products/2020/10/1/bedspace_for_ladies_qc_1601540442_d36ec089_progressive, https://media.karousell.com/media/photos/products/2020/10/1/bedspace_for_ladies_qc_1601540442_e0eb3c96_progressive, https://media.karousell.com/media/photos/products/2020/10/1/bedspace_for_ladies_qc_1601540442_72fb27ea_progressive, https://media.karousell.com/media/photos/products/2020/10/1/bedspace_for_ladies_qc_1601540442_1cdf7974_progressive",
Female Bedspace California Garden Square,4000,"Female Bedspace

Location: California Garden Square Condominium Mandaluyong

Inclusions:
Water Bill
Electricity Bill
New bed, new mattress and new pillow
Electric Fan
Cabinet with lock
CR newly renovated

Popular establishments within vicinity:
Robinson's Supermarket
Starbucks
McDonald's
Mercury Drug

Near to:
SM Megamall
Starmall
VRP Medical Center
MRT (Shaw and Boni stations)

Rates:
4300
4000

Requirements:
1 month advance
1 month deposit
NBI Clearance
2 Government Valid IDs
Police Clearance

PM for inquiries",DM Guevara,,,Metro Manila (NCR),Mandaluyong City,Highway Hills,0,,,,https://www.carousell.ph/p/female-bedspace-california-garden-square-1060471702/?t-id=_pqFK10KBv_1613656945170&t-referrer_browse_type=search_results&t-referrer_request_id=4dO6syfA6STekgZh&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/4/female_bedspace_california_gar_1609736612_d4018504_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/female_bedspace_california_gar_1609736612_d43c6007_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/female_bedspace_california_gar_1609736612_84e7253a_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/female_bedspace_california_gar_1609736612_cbbeb4e0_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/female_bedspace_california_gar_1609736612_5621bfcf_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/female_bedspace_california_gar_1609736612_e1303883_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/female_bedspace_california_gar_1609736613_5d7025e2_progressive.jpg",
Female Bedspace Makati city/BGC/SM AURA,2700,"good for 4 - 2,700
good for 2- 3,200
??inclusive of water and electrical bills
??free wifi
??5 slots available

dm for more info or contact us through
09338750201-sun
+639562298034-globe","near sm aura, market market, BGC",5,3,Metro Manila (NCR),Makati City,,,,,,https://www.carousell.ph/p/female-bedspace-makati-city-bgc-sm-aura-1039678667/?t-id=_pqFK10KBv_1613656945170&t-referrer_browse_type=search_results&t-referrer_request_id=4dO6syfA6STekgZh&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_a3fa7d9d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_44359e4d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_3221466c_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_cd4792e2_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_f76d857d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_62cb4222_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_e2c7118d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_2496e153_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/6/female_bedspace_makati_city_1601947666_c1adcbe8_progressive.jpg",description
Female Bedspace only 3 Pax in room Single Beds w foam free Wifi 24/7,3700,"80-C Plaridel st. Qc corner E.Rodriguez sr ave opposite banawe st qc. 3 blocks away from Welcome rotonda. 2 mins walk from 7/11, Mini-stop, laundry shops, canteens, drugstore     and public transpo! Flood free! 5-10 mins away from SM sta mesa, Fishermall, UST, FEU, St. LUKE'S Hospital, Delos Santos Hospital & National Children's Hospital and Fe del Mundo Hospital!

 Working Female Professionals only!

- New house Wi-fi  included  hi-speed Optic Fiber Converge  25 mbps 24/7 unli-use. 

- Bedspace P3700. Only 3 people  in room good for 4 pax very  spacious

- electricity all-in but no cooking

- water all-in with  laundry but undies & light sando or shirts only. Laundry shop beside house only P60 per 8kilos mixed clothes ok.
 
- spacious & comfortable

- all our beds are new Solo Single flat bar with foam Uratex

- no double deck beds

- toilet and bath shared  clean & big

- individual keys each

- inclusive of light & water

- 24 hour barangay security

- 09054034721

- 1 month advance 1 month deposit",80-C Plaridel st. Qc near welcome rotonda,1,1,Metro Manila (NCR),Quezon City,Don Manuel,25,,,,https://www.carousell.ph/p/female-bedspace-only-3-pax-in-room-single-beds-w-foam-free-wifi-24-7-239947032/?t-id=_pqFK10KBv_1613656945170&t-referrer_browse_type=search_results&t-referrer_request_id=Fy4Ssx2T58no0R62&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563238039_40e363e2_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239108_7d342e26_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239109_9ffa55f1_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239109_c212376e_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239307_3836056f_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239307_60faa08e_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239307_0dcd9f62_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239308_37e92cf5_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563266749_8032edfb_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/16/room__bedspace_solo_single_beds_brand_new_house_1563239447_51a8269c_progressive.jpg",
FIRST MONTH FREE: Makati Dormitories – Bedspaces – Co-Living,3250,"We are all affected by the COVID-19 situation, and we are also all part of the solution. 

At Euroflats, we have deployed footbaths and we DISINFECT our hallways and stairs every day. 

Your dormitory room is cleaned daily, and we DISINFECT the inside of your room every 48 hours. 

We have hand sanitize stations, we take temperature of our tenants weekly and we ask our tenants to wear masks in the public areas of our buildings. 

We also require swab tests or medical certificates when moving in. 

If we all do our part, we all reduce our risk.

And to help you get started again, you get the FIRST MONTH FREE with us if you sign in during August !! 

“Euroflats” offers Male and Female Dorms; very clean and well-maintained.

Dorms are equipped with WiFi, Aircon & Cable TV. Charges for Internet and Cable TV are included in the price, cost of utilities is shared with your room mates

We provide 2 sets of pillows, pillowcases, flat & fitted sheets for free. Daily cleaning of your room and the laundry of your bed sheets twice a month is provided for free as well.

Our Building Administrator lives in the same building to ensure we cater to your needs.

A single ride brings you to BGC or CBD.

Terms: 2 months deposit; 12 months contract; no pets; no parking.

Call Ruby at 09-EUROFLATS"," 508 Yakal Street, Barangay Comembo, Makati City, Comembo",2,2,Metro Manila (NCR),Makati City,Comembo,50,,0,,https://www.carousell.ph/p/first-month-free-makati-dormitories-%E2%80%93-bedspaces-%E2%80%93-co-living-1024477931/?t-id=dWibhEeq4Z_1613657147260&t-referrer_browse_type=search_results&t-referrer_request_id=gQZXNSYEEDHg-3rI&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633952_3e253396e_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633952_fcd8d43ae_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633952_d3d5c72be_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633952_25699715e_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633952_73d4f420e_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633953_decfd1b8e_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633953_ca8c0684e_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633953_4ed618dde_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633953_26327b1de_progressive, https://media.karousell.com/media/photos/products/2021/02/18/first_month_free_makati_dormitories__bedspaces__coliving_1613633953_e2c7a783e_progressive",unit name & description
FEMALE BEDSPACE FOR RENT 8 Beds in 1 Bedroom),3500,"Looking for: Female occupants (Bedspace)
?? your BED in the heart of the METRO ??
Located at ?? #55 14th ave. Brgy. Socorro, Murphy Cubao, Quezon City.
Inclusions:
??Water
??Electricity
??24/7 Security and CCTV
??Double deck frames
??Mattress
??Aircon
?? Walking distance to :
Laundry shops , Murphy Market , 711 , Church , Joeys grill , Cafe MARIA Jerica and other 24 hr food outlets...
?? (Tricycle) One ride to:
MRT - Cubao station , Alimall , SM Cubao, Araneta Coliseum , Robinson Supermarket , Banks , Mini Stop , Villarosa Hospital
?? PM me for inquiries and viewing or ??
??0920-9131-640
0966-983-4685",#55 14th Avenue Cubao Quezo City,1,4,Metro Manila (NCR),Quezon City,Socorro,20,,0,,https://www.carousell.ph/p/female-bedspace-for-rent-8-beds-in-1-bedroom-1069604120/?t-id=dWibhEeq4Z_1613657147260&t-referrer_browse_type=search_results&t-referrer_request_id=Pb8mYqL9cRfvfcXn&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/15/female_bed_space_for_rent_8_be_1613387698_dd6a0584_progressive, https://media.karousell.com/media/photos/products/2021/2/15/female_bed_space_for_rent_8_be_1613387698_dd6ed358_progressive, https://media.karousell.com/media/photos/products/2021/2/15/female_bed_space_for_rent_8_be_1613387698_12172d29_progressive, https://media.karousell.com/media/photos/products/2021/2/15/female_bed_space_for_rent_8_be_1613387699_affc8555_progressive, https://media.karousell.com/media/photos/products/2021/2/15/female_bed_space_for_rent_8_be_1613387699_e31e5748_progressive, https://media.karousell.com/media/photos/products/2021/2/15/female_bed_space_for_rent_8_be_1613387699_53508e87_progressive",description
Makati Bedspacer for Female or Lady,5000,"The whole unit is 44sqm and it has 2 Floors

Fully Furnished with Brand new appliances

- 20mbps WIFI Fiber
- Landline phone for 24/7 security
- 40 inches Smart TV
- Microwave
- Refrigerator (2 doors Inverter)
- Aircon Split type (Latest Inverter Carrier)
- Cabinets with own keys
- Sofa bed in living area
- Dining Table
- Kitchen counter
- Electric Kettle
- Rangewood
- 1 Shower Room
- 1 Comfort Room
- Shoerocks
- Inclusive of utensils
- Inclusive of bed matress (Uratex)
- Inclusive of swimming pool
- Inclusive of water bill
- Inclusive of association dues
- Inclusive of electric bill
- Inclusive of drinking water, dishwashing liquid, sponge, trash bags, etc


Payment Terms upon move-in
- 1 month deposit (refundable for 3 mos contract)
- 1 month advance (consumable)

Located at: Victoria De Makati Condominium Washington St. cor. Dela Rosa St. Makati City",Victoria De Makati Condominium Washington St. cor. Dela Rosa St. Brgy. Pio Del Pillar Makati City,1,2,Metro Manila (NCR),Makati City,,44,,0,,https://www.carousell.ph/p/makati-bedspacer-for-female-or-lady-1017162626/?t-id=Ta4D8rh--G_1613658349260&t-referrer_browse_type=search_results&t-referrer_request_id=3EKKSOAvroCxXwmV&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482668_6f7e1acd_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482668_316062bd_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_0511e329_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_5393c517_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_18312bb3_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_e41a7487_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_198b90ba_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_e31188d6_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_a5dd72c4_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/30/makati_lady_female_bedspacer_5_1593482669_4aa2d9e2_progressive.jpg",
